Image,Color_1,Percentage_1,Color_2,Percentage_2,Color_3,Percentage_3,Color_4,Percentage_4,Color_5,Percentage_5,Color_6,Percentage_6,Color_7,Percentage_7,Color_8,Percentage_8,Color_9,Percentage_9,Color_10,Percentage_10
IMG_1071.JPEG,[87.69559818 78.70432233 75.65949517],17.98607508341471,[223.81361978 219.01573272 211.50210508],17.787869771321617,[136.74247372 124.34355277 115.80968058],14.210319519042969,[23.05459048 16.47383026 17.50202661],13.554096221923828,[63.21821088 54.17906163 42.09024927],10.817941029866535,[186.87223864 161.5668605  155.14740555],9.00093714396159,[127.80736486 101.99206631  52.45882997],6.794166564941406,[170.53478195 151.72143475  63.15468122],5.423863728841146,[211.57512241 217.65661908 125.37906366],2.9087066650390625,[229.99564288 187.44541036  48.68957644],1.5160242716471353
IMG_1072.JPEG,[100.07808157  85.21657834  76.71698888],14.479955037434896,[126.8673268  111.52900228  97.79204302],14.360555013020834,[63.56568973 55.98157485 51.28999082],13.095760345458984,[24.03440581 15.40975431 16.87345253],11.687374114990234,[157.70062651 145.62401553 130.14381325],11.444505055745442,[198.24172551 191.96842246 179.52858178],10.213311513264973,[91.67902965 31.55872508 28.08524976],8.654721577962238,[235.37464099 234.82191432 228.92941339],7.116921742757161,[194.31616796  70.67730741  47.73370981],5.587069193522135,[213.7127782  155.38677857  96.21105243],3.359826405843099
IMG_1073.JPEG,[76.21651055 47.32509782 41.41630497],16.936747233072914,[107.7744365   93.44072332  80.98226944],14.992586771647135,[136.24842508 123.77592306 108.24216655],13.929621378580729,[41.3050173  22.37732083 21.180711  ],12.630335489908854,[159.23011515 152.23026511 145.12181236],12.08483378092448,[196.00302601 187.35255804 176.64961741],9.740893046061199,[224.18133353 219.20270009 211.32950132],8.4197998046875,[171.14129587  52.52430529  31.95123063],4.6037356058756504,[200.23725443 163.38501007 111.97423337],3.694915771484375,[211.54414301 103.26212688  61.5399231 ],2.966531117757161
IMG_1076.JPEG,[ 76.66672875  90.23438501 112.93424288],14.26703135172526,[248.19345979 250.9144836  251.62027489],13.26592763264974,[53.93748781 65.38018397 80.08813142],13.143253326416016,[32.47524954 42.23091669 49.5676425 ],12.872632344563803,[ 7.89234567 14.639423   23.63215364],12.642542521158854,[ 86.71125806 128.58753495 198.63611022],11.824417114257812,[ 58.88487963  92.85647722 160.93094185],9.487056732177734,[177.72506107 195.02616438 215.15586862],5.9803009033203125,[120.78366332 131.05943668 134.7402568 ],4.062843322753906,[103.35637278  89.25449645  24.81516612],2.4539947509765625
IMG_1077.JPEG,[33.82048679 37.61845504 41.14251027],15.811665852864584,[86.422879   91.49846944 97.59856479],13.861910502115885,[57.59159816 62.47242942 67.2371419 ],12.969112396240234,[110.31776876 116.02611602 123.70772393],12.09729512532552,[ 83.24108296 131.16033989 208.82927663],11.813958485921223,[138.99094399 145.00887561 150.87856648],8.82883071899414,[194.25913068 200.69929978 211.58889114],7.527414957682292,[111.27742173 154.09299263 215.65331492],6.904919942220052,[162.62568469 174.20659855 193.89166548],6.727155049641927,[231.80685851 235.34749471 239.01219086],3.4577369689941406
IMG_1078.JPEG,[44.47500272 46.60607597 48.92600091],15.55013656616211,[25.57754413 28.10263413 32.16580849],12.829017639160156,[61.60202989 65.03544979 67.6792462 ],12.352689107259113,[82.20706185 87.12390257 91.03854394],10.633150736490887,[102.54215982 110.56153117 118.20639084],10.435962677001953,[125.88829032 134.7481434  144.25300988],10.179996490478516,[121.5125732  185.07865926 235.79457302],8.441003163655598,[154.67515479 162.00113784 170.06592832],7.6193491617838545,[198.66180929 201.81375958 203.59555063],6.139628092447916,[239.875378   238.46148607 235.48208205],5.819066365559896
IMG_1079.JPEG,[59.65606298 55.7519131  54.25311005],14.19531504313151,[30.85960727 35.23899568 18.15634263],13.099129994710287,[67.95134127 90.194624   27.39795403],11.648813883463543,[156.30852462 173.78596375 200.4602995 ],11.319541931152344,[93.98890043 83.20890096 79.48268058],10.752137502034504,[212.08589149 217.66594902 224.56137404],10.276412963867188,[162.76228175 111.71669131  94.40513259],8.995532989501953,[106.4793488  130.67969581  60.61265986],8.930555979410808,[116.1221572  119.25974617 125.58974842],6.073443094889322,[164.22981997 168.65161897 117.9452237 ],4.709116617838541
IMG_1080.JPEG,[8.57533639 8.82751476 6.50159769],17.170651753743492,[150.90637939 166.56980315 192.27908122],13.552093505859375,[35.43906139 38.24812969 23.10552167],12.319374084472656,[62.98647809 64.32295064 45.44466631],12.060070037841797,[209.65772212 215.66208938 220.17336429],11.048730214436848,[179.97997215 126.43516637 107.08921326],8.53751500447591,[ 89.99609739 115.42374453  45.16093448],7.0929209391276045,[114.11930072  93.19860871  83.893671  ],6.995582580566406,[131.36947381 154.37885173  89.93849694],6.6137949625651045,[184.93042183 191.84293959 133.533945  ],4.609266916910807
IMG_1081.JPEG,[6.26613735 7.1192189  7.65427752],17.50354766845703,[98.65390251 96.43831053 96.15371936],11.997063954671223,[129.01990508 121.59814435 119.65566775],11.77660624186198,[72.76007515 73.14359443 69.57239141],11.217753092447918,[179.45008477 176.46462722 173.65182739],10.788504282633465,[152.88943    149.49313412 146.15712563],10.626888275146484,[207.524407   204.79517151 202.74944185],9.77500279744466,[42.64333671 44.15252109 39.99696244],7.317924499511719,[239.90083831 238.02574639 236.16869967],7.132816314697266,[122.00213723 134.828526    69.39725067],1.8638928731282551
IMG_1082.JPEG,[ 5.35175848  7.24976422 11.38912113],19.477176666259766,[ 78.99739269 108.74533807 163.27871126],15.474669138590494,[105.42942162 133.26412772 175.15354108],12.937736511230469,[122.89706089 134.44345891 151.30237181],10.422007242838543,[153.51585354 163.03049502 177.92565427],9.744803110758465,[194.71175596 198.77934691 205.34971967],8.815161387125652,[106.36880053 110.75164368 102.7395394 ],6.912422180175781,[34.2967183  39.97337829 40.23367224],6.869316101074219,[74.35987202 77.91799556 70.0613593 ],5.707009633382162,[229.25307569 232.03019375 235.9976774 ],3.639698028564453
